index,latitude,longitude,height,speed_x,speed_y,speed_z,pitch,roll,yaw,satellite_count,flight_mode,is_motor_on,is_flying,battery_percent,battery_voltage,cell_1,cell_2,cell_3,cell_4,message
51,38.1321834448144,24.32968882929918,12.0,-0.11,0.15,0.27,27.5,-5.0,-48.6,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
52,38.13218074439435,24.3296936475946,11.8,-0.16,0.21,0.22,25.6,-5.1000000000000005,-48.800000000000004,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
53,38.13217713589197,24.32969947298648,12.100000000000001,-0.23,0.28,0.13,24.6,-7.2,-49.6,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
54,38.132172416901575,24.32970667633155,11.5,-0.26,0.33,0.04,12.4,11.8,-47.6,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
56,38.13216498652893,24.329724530633452,11.4,-0.17,0.38,0.02,-9.3,-1.9000000000000001,-62.7,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
57,38.132162815627225,24.32973191543294,11.4,-0.12,0.3,0.02,-27.900000000000002,-5.9,-60.900000000000006,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
58,38.132160747524665,24.329737276391338,11.3,-0.07,0.2,0.02,-29.3,-5.6000000000000005,-61.0,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
59,38.13215999578772,24.32974051717122,11.3,-0.03,0.1,0.03,-26.3,-4.1000000000000005,-60.800000000000004,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
60,38.1321600926424,24.32974154957115,11.200000000000001,0.01,0.01,0.01,-15.8,-7.5,-61.2,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
61,38.13216111084637,24.329741123646762,11.200000000000001,0.03,-0.04,0.0,-13.100000000000001,-4.6000000000000005,-62.7,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
62,38.13216234658624,24.329740091518698,11.100000000000001,0.07,-0.07,0.07,-7.7,-6.0,-65.9,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
63,38.13216411153744,24.329738341483505,11.0,0.09,-0.09,0.1,-8.5,7.4,-73.4,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
64,38.13216688793382,24.32973651113151,10.9,0.18,-0.1,0.03,-6.0,10.8,-72.8,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
65,38.13217123826692,24.329734136977336,10.8,0.25,-0.1,0.0,-2.3000000000000003,7.5,-72.8,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
66,38.13217675413886,24.329731815718183,10.8,0.3,-0.1,0.0,-4.6000000000000005,11.700000000000001,-73.3,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
